ID,Prompt_EN,Prompt,Prompt_python,Prompt_tikz
n_15_3_ZH,"A bar chart shows the number of graduates in different subjects within the community. 1,800 studied humanities, 4,500 studied science, and 5,520 studied engineering. The values are marked at the top of each bar.",一副展示了社区内不同专业的毕业生数量的条状图。其中1800 人是文科的，4500 人是理科的，5520 人是工科的。这些数值标在每个柱的顶部。,请根据以下要求生成科学图像： 一副展示了社区内不同专业的毕业生数量的条状图。其中1800 人是文科的，4500 人是理科的，5520 人是工科的。这些数值标在每个柱的顶部。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 一副展示了社区内不同专业的毕业生数量的条状图。其中1800 人是文科的，4500 人是理科的，5520 人是工科的。这些数值标在每个柱的顶部。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
s_11_1_ZH,Many circles are embedded within each other without intersection.,很多圆互相嵌套，但是彼此之间没有相交。,请根据以下要求生成科学图像： 很多圆互相嵌套，但是彼此之间没有相交。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 很多圆互相嵌套，但是彼此之间没有相交。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
s_12_2_ZH,The tennis ball moves along a parabola.,网球沿着抛物线轨迹移动。,请根据以下要求生成科学图像： 网球沿着抛物线轨迹移动。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 网球沿着抛物线轨迹移动。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
s_3_3_ZH,There is a triangle in the upper left corner of a square.,正方形的左上角有一个三角形。,请根据以下要求生成科学图像： 正方形的左上角有一个三角形。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 正方形的左上角有一个三角形。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
sa_2_1_ZH,"A big circle is inside a circle, and a small circle is outside of the circle.",有一个大圆在圆内，还有一个小圆在圆外。,请根据以下要求生成科学图像： 有一个大圆在圆内，还有一个小圆在圆外。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 有一个大圆在圆内，还有一个小圆在圆外。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
sa_3_4_ZH,"In a bar chart, a grey bar is to the right of a green bar, and the leftmost bar is the shortest in the chart.",在条状图中，灰色条位于绿色条的右侧，最左侧的条是图表中最短的。,请根据以下要求生成科学图像： 在条状图中，灰色条位于绿色条的右侧，最左侧的条是图表中最短的。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 在条状图中，灰色条位于绿色条的右侧，最左侧的条是图表中最短的。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
sa_8_4_ZH,The intersection of the pentagon and the trapezoid is filled with blue.,一个五边形和一个梯形的重合部分被填充蓝色。,请根据以下要求生成科学图像： 一个五边形和一个梯形的重合部分被填充蓝色。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 一个五边形和一个梯形的重合部分被填充蓝色。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
na_13_3_ZH,"There are 8 monochrome hexagonal prism in a row and they are filled with blue colors, with colors gradually changing from lighter to darker.",8个单色六棱柱排成一排，它们都被蓝色填充，颜色由浅到深逐渐变化。,请根据以下要求生成科学图像： 8个单色六棱柱排成一排，它们都被蓝色填充，颜色由浅到深逐渐变化。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 8个单色六棱柱排成一排，它们都被蓝色填充，颜色由浅到深逐渐变化。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
na_14_1_ZH,"There is a pie chart representing the population proportion of 5 age groups, from 0 to 100 years old. Each group has the same or a similar range, but their population percentages differ. The age group and their proportion are marked in each pie slice.",有一张饼图用来表示从 0 岁到 100 岁这 5 个年龄段的人口比例。每个年龄段的范围相同或相似，但占比不同。每个年龄组及其比例都在饼图中标出。,请根据以下要求生成科学图像： 有一张饼图用来表示从 0 岁到 100 岁这 5 个年龄段的人口比例。每个年龄段的范围相同或相似，但占比不同。每个年龄组及其比例都在饼图中标出。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 有一张饼图用来表示从 0 岁到 100 岁这 5 个年龄段的人口比例。每个年龄段的范围相同或相似，但占比不同。每个年龄组及其比例都在饼图中标出。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
na_8_1_ZH,There is a polygon with 3 sides. Each side has a different color.,有一个有 3 条边的多边形。每条边都有不同的颜色。,请根据以下要求生成科学图像： 有一个有 3 条边的多边形。每条边都有不同的颜色。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 有一个有 3 条边的多边形。每条边都有不同的颜色。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
ns_13_1_ZH,There are 5 squares on the left side of the canvas and 3 circles on the right side.,画面里左侧有5个正方形，右侧有3个圆圈。,请根据以下要求生成科学图像： 画面里左侧有5个正方形，右侧有3个圆圈。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 画面里左侧有5个正方形，右侧有3个圆圈。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
ns_2_3_ZH,5 cubes in the lower left corner of the cuboid.,长方体的左下角有5个立方体。,请根据以下要求生成科学图像： 长方体的左下角有5个立方体。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 长方体的左下角有5个立方体。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
ns_4_4_ZH,There is a sphere in the middle of 2 cubes.,2个立方体中间有一个球体。,请根据以下要求生成科学图像： 2个立方体中间有一个球体。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 2个立方体中间有一个球体。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
nsa_12_2_ZH,"The box on the left contains 5 white balls, and the box on the right contains 4 green balls and 5 grey balls.",左边的盒子里有5个白球，右边的盒子里有4个绿球和5个灰球。,请根据以下要求生成科学图像： 左边的盒子里有5个白球，右边的盒子里有4个绿球和5个灰球。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 左边的盒子里有5个白球，右边的盒子里有4个绿球和5个灰球。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
nsa_3_1_ZH,"Two parallel line segments are inside a circle, with all of their endpoints on the circle. Mark the endpoints with black dots.",2条互相平行的线在一个圆内，它们的端点都在圆上。用黑点标记所有的端点。,请根据以下要求生成科学图像： 2条互相平行的线在一个圆内，它们的端点都在圆上。用黑点标记所有的端点。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 2条互相平行的线在一个圆内，它们的端点都在圆上。用黑点标记所有的端点。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
nsa_8_2_ZH,A bar chart with 4 bars and mark the leftmost bar in brown.,一个条形图有4条，并将最左边的那条标记为棕色。,请根据以下要求生成科学图像： 一个条形图有4条，并将最左边的那条标记为棕色。 你应该输出Python代码。除 Python代码外请勿包含任何其他文本。,请根据以下要求生成科学图像： 一个条形图有4条，并将最左边的那条标记为棕色。 你应该输出TikZ代码。除 TikZ代码外请勿包含任何其他文本。
a_10_1_FA,A triangle with sides of equal length.,مثلثی که طول اضلاع آن برابر است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: مثلثی که طول اضلاع آن برابر است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: مثلثی که طول اضلاع آن برابر است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
a_9_3_FA,A quadrilateral with rounded corners.,یک چهارضلعی با گوشه های گرد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک چهارضلعی با گوشه های گرد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک چهارضلعی با گوشه های گرد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
n_10_2_FA,"A pentagon is divided into N parts using N-1 lines, where N > 2.",یک پنج ضلعی که با استفاده از N-1 خط به N قسمت تقسیم می شود، که در آن N>2 است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک پنج ضلعی که با استفاده از N-1 خط به N قسمت تقسیم می شود، که در آن N>2 است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک پنج ضلعی که با استفاده از N-1 خط به N قسمت تقسیم می شود، که در آن N>2 است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
n_13_1_FA,A binary tree with a total of 7 nodes.,یک درخت دودویی با مجموع 7 گره.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک درخت دودویی با مجموع 7 گره. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک درخت دودویی با مجموع 7 گره. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
n_15_3_FA,"A bar chart shows the number of graduates in different subjects within the community. 1,800 studied humanities, 4,500 studied science, and 5,520 studied engineering. The values are marked at the top of each bar.",یک نمودار میله ای تعداد فارغ التحصیلان در موضوعات مختلف در جامعه را نشان می دهد. 1800 نفر در رشته علوم انسانی، 4500 نفر در رشته علوم و 5520 نفر در رشته مهندسی تحصیل کردند. مقادیر در بالای هر میله مشخص شده اند.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار میله ای تعداد فارغ التحصیلان در موضوعات مختلف در جامعه را نشان می دهد. 1800 نفر در رشته علوم انسانی، 4500 نفر در رشته علوم و 5520 نفر در رشته مهندسی تحصیل کردند. مقادیر در بالای هر میله مشخص شده اند. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار میله ای تعداد فارغ التحصیلان در موضوعات مختلف در جامعه را نشان می دهد. 1800 نفر در رشته علوم انسانی، 4500 نفر در رشته علوم و 5520 نفر در رشته مهندسی تحصیل کردند. مقادیر در بالای هر میله مشخص شده اند. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
s_11_1_FA,Many circles are embedded within each other without intersection.,دایره های زیادی که بدون تقاطع درون یکدیگر قرار دارند.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: دایره های زیادی که بدون تقاطع درون یکدیگر قرار دارند. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: دایره های زیادی که بدون تقاطع درون یکدیگر قرار دارند. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
s_12_2_FA,The tennis ball moves along a parabola.,توپ تنیس در امتداد یک سهمی حرکت می کند.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: توپ تنیس در امتداد یک سهمی حرکت می کند. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: توپ تنیس در امتداد یک سهمی حرکت می کند. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
s_3_3_FA,There is a triangle in the upper left corner of a square.,یک مثلث در گوشه سمت چپ بالای یک مربع وجود دارد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک مثلث در گوشه سمت چپ بالای یک مربع وجود دارد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک مثلث در گوشه سمت چپ بالای یک مربع وجود دارد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
sa_2_1_FA,"A big circle is inside a circle, and a small circle is outside of the circle.",یک دایره بزرگ در داخل یک دایره قرار دارد و یک دایره کوچک در خارج از دایره است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک دایره بزرگ در داخل یک دایره قرار دارد و یک دایره کوچک در خارج از دایره است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک دایره بزرگ در داخل یک دایره قرار دارد و یک دایره کوچک در خارج از دایره است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
sa_3_4_FA,"In a bar chart, a grey bar is to the right of a green bar, and the leftmost bar is the shortest in the chart.",در یک نمودار میله ای، یک میله خاکستری در سمت راست یک میله سبز قرار دارد و سمت چپ ترین میله، کوتاه ترین در نمودار است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: در یک نمودار میله ای، یک میله خاکستری در سمت راست یک میله سبز قرار دارد و سمت چپ ترین میله، کوتاه ترین در نمودار است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: در یک نمودار میله ای، یک میله خاکستری در سمت راست یک میله سبز قرار دارد و سمت چپ ترین میله، کوتاه ترین در نمودار است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
sa_8_4_FA,The intersection of the pentagon and the trapezoid is filled with blue.,اشتراک پنج ضلعی و ذوزنقه با رنگ آبی پر شده است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: اشتراک پنج ضلعی و ذوزنقه با رنگ آبی پر شده است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: اشتراک پنج ضلعی و ذوزنقه با رنگ آبی پر شده است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
na_13_3_FA,"There are 8 monochrome hexagonal prism in a row and they are filled with blue colors, with colors gradually changing from lighter to darker.",8 منشور شش ضلعی تک رنگ در یک ردیف وجود دارد که با رنگ های آبی پر شده اند و رنگ ها به تدریج از روشن تر به تیره تر تغییر می کنند.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 8 منشور شش ضلعی تک رنگ در یک ردیف وجود دارد که با رنگ های آبی پر شده اند و رنگ ها به تدریج از روشن تر به تیره تر تغییر می کنند. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 8 منشور شش ضلعی تک رنگ در یک ردیف وجود دارد که با رنگ های آبی پر شده اند و رنگ ها به تدریج از روشن تر به تیره تر تغییر می کنند. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
na_14_1_FA,"There is a pie chart representing the population proportion of 5 age groups, from 0 to 100 years old. Each group has the same or a similar range, but their population percentages differ. The age group and their proportion are marked in each pie slice.",یک نمودار دایره ای وجود دارد که نشان دهنده نسبت جمعیت 5 گروه سنی، از 0 تا 100 سال است. هر گروه دارای محدوده یکسان یا مشابه است، اما درصد جمعیت آنها متفاوت است. گروه سنی و نسبت آنها در هر برش دایره مشخص شده است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار دایره ای وجود دارد که نشان دهنده نسبت جمعیت 5 گروه سنی، از 0 تا 100 سال است. هر گروه دارای محدوده یکسان یا مشابه است، اما درصد جمعیت آنها متفاوت است. گروه سنی و نسبت آنها در هر برش دایره مشخص شده است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار دایره ای وجود دارد که نشان دهنده نسبت جمعیت 5 گروه سنی، از 0 تا 100 سال است. هر گروه دارای محدوده یکسان یا مشابه است، اما درصد جمعیت آنها متفاوت است. گروه سنی و نسبت آنها در هر برش دایره مشخص شده است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
na_8_1_FA,There is a polygon with 3 sides. Each side has a different color.,یک چند ضلعی با 3 ضلع وجود دارد. هر ضلع رنگ متفاوتی دارد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک چند ضلعی با 3 ضلع وجود دارد. هر ضلع رنگ متفاوتی دارد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک چند ضلعی با 3 ضلع وجود دارد. هر ضلع رنگ متفاوتی دارد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
ns_13_1_FA,There are 5 squares on the left side of the canvas and 3 circles on the right side.,5 مربع در سمت چپ بوم و 3 دایره در سمت راست وجود دارد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 5 مربع در سمت چپ بوم و 3 دایره در سمت راست وجود دارد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 5 مربع در سمت چپ بوم و 3 دایره در سمت راست وجود دارد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
ns_2_3_FA,5 cubes in the lower left corner of the cuboid.,5 مکعب مربع در گوشه سمت چپ پایین مکعب مستطیل.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 5 مکعب مربع در گوشه سمت چپ پایین مکعب مستطیل. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: 5 مکعب مربع در گوشه سمت چپ پایین مکعب مستطیل. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
ns_4_4_FA,There is a sphere in the middle of 2 cubes.,یک کره وسط 2 مکعب مربع وجود دارد.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک کره وسط 2 مکعب مربع وجود دارد. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک کره وسط 2 مکعب مربع وجود دارد. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
nsa_12_2_FA,"The box on the left contains 5 white balls, and the box on the right contains 4 green balls and 5 grey balls.",جعبه سمت چپ شامل 5 توپ سفید و جعبه سمت راست شامل 4 توپ سبز و 5 توپ خاکستری است.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: جعبه سمت چپ شامل 5 توپ سفید و جعبه سمت راست شامل 4 توپ سبز و 5 توپ خاکستری است. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: جعبه سمت چپ شامل 5 توپ سفید و جعبه سمت راست شامل 4 توپ سبز و 5 توپ خاکستری است. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
nsa_3_1_FA,"Two parallel line segments are inside a circle, with all of their endpoints on the circle. Mark the endpoints with black dots.",دو پاره خط موازی در داخل یک دایره قرار دارند که تمام نقاط انتهایی آنها روی دایره است. نقاط انتهایی را با نقاط سیاه علامت بزنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: دو پاره خط موازی در داخل یک دایره قرار دارند که تمام نقاط انتهایی آنها روی دایره است. نقاط انتهایی را با نقاط سیاه علامت بزنید. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: دو پاره خط موازی در داخل یک دایره قرار دارند که تمام نقاط انتهایی آنها روی دایره است. نقاط انتهایی را با نقاط سیاه علامت بزنید. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.
nsa_8_2_FA,A bar chart with 4 bars and mark the leftmost bar in brown.,یک نمودار میله ای با 4 میله و سمت چپ ترین میله را با رنگ قهوه ای علامت بزنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار میله ای با 4 میله و سمت چپ ترین میله را با رنگ قهوه ای علامت بزنید. خروجی شما باید به صورت کد پایتون باشد. هیچ متنی غیر از کد پایتون وارد نکنید.,لطفا با توجه به شرایط زیر یک شکل علمی ایجاد کنید: یک نمودار میله ای با 4 میله و سمت چپ ترین میله را با رنگ قهوه ای علامت بزنید. خروجی شما باید به صورت کد تیکز باشد. هیچ متنی غیر از کد تیکز وارد نکنید.